,reviews,stars,date,country,verified,corpus
10,"✅ Trip Verified |  Although it was a bit uncomfortable flight in an economy, the flight attendants made the flight the best possibly could.  Such a nice and professional crew. Very attentive and looking out for their customers.",1,2023-02-27,United Kingdom,True,although bit uncomfortable flight economy flight attendant made flight best possibly could nice professional crew attentive looking customer
11,"✅ Trip Verified |  Boarding was decently organised. The A380 still has the rather strange configuration in Club World where you neighbour is sitting in the opposite position. The A380 was nearly full, rather poor amenity bag. The welcome drink was ok but then rather long waiting for the aperitive what is made in the pantry. The meal was ok but not great, aside the Champagne no European wines on this flight. Service was friendly but rather slow, no spontaneous refills of drinks offered. Acceptable continental style breakfast. Extremely narrow restrooms without any lotions or similar. It was an acceptable experience, nothing more. After landing 50 minutes waiting for luggage labelled as priority.",8,2023-02-27,Belgium,True,boarding decently organised still rather strange configuration club world neighbour sitting opposite position nearly full rather poor amenity bag welcome drink ok rather long waiting aperitive made pantry meal ok great aside champagne european wine flight service friendly rather slow spontaneous refill drink offered acceptable continental style breakfast extremely narrow restroom without lotion similar acceptable experience nothing landing minute waiting luggage labelled priority
12,"✅ Trip Verified | Boarding on time and departure on time for a flight to London Heathrow that is very ok, the A320 with rather narrow seats. In business light meal a Caesars salad, a mousse as sweet and choice of drinks - nothing wrong for such a short flight. FA's were very friendly and landing on time.",6,2023-02-27,Belgium,True,boarding time departure time flight london heathrow ok rather narrow seat business light meal caesar salad mousse sweet choice drink nothing wrong short flight fa friendly landing time
13,"✅ Trip Verified |  My original flight was cancelled just over 2 weeks before my actual flight and although alternative flights were available, British airways affected the trip I planned. It feels like BA is doing a favour to passengers rather than being paid to deliver the service.",7,2023-02-26,United Kingdom,True,original flight cancelled week actual flight although alternative flight available british airway affected trip planned feel like ba favour passenger rather paid deliver service
14,✅ Trip Verified |  Delayed just for a change. Poor communication. British Airways sells premium prices flight tickets and delivers no better than a low cost airline. Customer service is impossible to contact and it seems BA tries hard to hide any possible email communication address when it's available.,1,2023-02-26,United Kingdom,True,delayed change poor communication british airway sell premium price flight ticket delivers better low cost airline customer service impossible contact seems ba try hard hide possible email communication address available
15,"✅ Trip Verified |  Very competent check in staff, saw had a problem with my left arm and insisted I could not take exit seat. Moved me to row 30 where the middle seat was empty. On the other hand on board - huge line for toilets - 45 min into a 2.30 min flight a crew member realised one of the toilets is closed - as crew had put their luggage there. They announced that they could not serve hot drinks on this flight and to bear with them as service will be slow. On asking why: ""They did not give us enough cups for hot drinks. And the card machine is not working so we have to fill out each credit card slip"". A bottle of water and a nutrigrain bar. ",1,2023-02-23,United Arab Emirates,True,competent check staff saw problem left arm insisted could take exit seat moved row middle seat empty hand board huge line toilet min min flight crew member realised one toilet closed crew put luggage announced could serve hot drink flight bear service slow asking give u enough cup hot drink card machine working fill credit card slip bottle water nutrigrain bar
16,"✅ Trip Verified |  Check in was so slow, no self check in and bag drop. Boarding was ok, flight totally full. Booked row 9 which was ok. Some space in overhead bins. Seat and legroom ok. Cabin crew ok, smiled, gave out the bottle of water and pretzels. Flight itself was ok, landed 25 mins early and then waited 30 minutes for a stand and ground crew. Bags came off reasonably quickly. BA still seems to believe it is something special, a premium carrier. The reality is that it is not. The only reason we flew BA was we got virtually free tickets because both flights were cancelled last year. BA is our carrier of last choice.",4,2023-02-18,United Kingdom,True,check slow self check bag drop boarding ok flight totally full booked row ok space overhead bin seat legroom ok cabin crew ok smiled gave bottle water pretzel flight ok landed min early waited minute stand ground crew bag came reasonably quickly ba still seems believe something special premium carrier reality reason flew ba got virtually free ticket flight cancelled last year ba carrier last choice
17,"✅ Trip Verified |  My review relates to the appalling experiences I had with British Airways on 14th February 2023. I was due to travel to Madrid with British Airways and before setting off I heard on the radio that there were flight delays. I looked at the Heathrow Airport website and saw that my flight had been cancelled. As a result of the information on the website, I called British Airways and have 26 minutes on hold I found myself speaking to somebody in a call centre in South Africa. The person was hard to understand due to a heavy accent and he was incompetent and insisted that the flight was not cancelled. I made my way to Heathrow and sure enough the flight was indeed cancelled. The woman in question had the audacity to declare that the flight was cancelled and that “there are no facilities here at the airport to rebook you”. She refused to let me and about 12 other people join the queue for the clearly marked assistance desk. The same woman and one of her colleagues gave out a card with a telephone number and told one rather elderly gentleman to “go online to rebook your seat”. I am visually impaired and found the attitude of the BA employee to be appalling. I called the number on the card the employee gave me and was again in a long queue to a call centre. The person who picked up the phone kept me waiting 22 minutes and declared that the flight was not cancelled and that the airport “must be wrong”. He then in a flippant tone said he was just informed that the flight was indeed cancelled and that I would have to go and speak to IBERIA customer services in Heathrow to rebook! I took the elderly gentleman with me to IBERIA where the counter staff member rolled her eyes in disgust and said that it was nothing to do with IBERIA. I returned to BA and this time I joined the check-in line and told a check-in agent what had happened. The man in question booked me onto the next available flight within a matter of a few minutes. He gave me a £30 voucher as a form of compensation but said he could not add my frequent flyer number with a partner airline. The voucher proved useless I am afraid as various shops in the predepature area refused to accept it and although I was told I could use it after clearing security none of the shops would accept it. Once aboard my new flight the service was minimal. Other than a tiny bottle of water and a packet of pretzels nothing else was available. This was a full flight as so many people had been transferred from the cancelled flight. BA Cabin crew announced that any additional items other than the small bottle of water and pretzels had to be ordered via their skyshop.",5,2023-02-18,United Kingdom,True,review relates appalling experience british airway th february due travel madrid british airway setting heard radio flight delay looked heathrow airport website saw flight cancelled result information website called british airway minute hold found speaking somebody call centre south africa person hard understand due heavy accent incompetent insisted flight cancelled made way heathrow sure enough flight indeed cancelled woman question audacity declare flight cancelled facility airport rebook refused let people join queue clearly marked assistance desk woman one colleague gave card telephone number told one rather elderly gentleman go online rebook seat visually impaired found attitude ba employee appalling called number card employee gave long queue call centre person picked phone kept waiting minute declared flight cancelled airport must wrong flippant tone said informed flight indeed cancelled would go speak iberia customer service heathrow rebook took elderly gentleman iberia counter staff member rolled eye disgust said nothing iberia returned ba time joined check line told check agent happened man question booked onto next available flight within matter minute gave voucher form compensation said could add frequent flyer number partner airline voucher proved useless afraid various shop predepature area refused accept although told could use clearing security none shop would accept aboard new flight service minimal tiny bottle water packet pretzel nothing else available full flight many people transferred cancelled flight ba cabin crew announced additional item small bottle water pretzel ordered via skyshop
18,"✅ Trip Verified | This was my first time flying with BA & I was pleasantly surprised. Islamabad via Doha was very comfortable and the crew were great, friendly and helpful. The second flight was operated by Qatar Airways this was from Doha to Islamabad. My return journey was a direct BA flight, 46kg luggage allowance was really generous and stopped the hassle with connecting flights. Crew on this flight were really nice too. What let BA down was the food, it really was not nice, the IFE could do with some more content but that's not really a huge issue.",1,2023-02-16,United Kingdom,True,first time flying ba pleasantly surprised islamabad via doha comfortable crew great friendly helpful second flight operated qatar airway doha islamabad return journey direct ba flight kg luggage allowance really generous stopped hassle connecting flight crew flight really nice let ba food really nice ife could content really huge issue
19,"✅ Trip Verified |  Lots of cancellations and delays and no one apologized. Edinburgh to London on Feb 14th, 2023, our original flight was cancelled, and the rebooked one was cancelled as well, the third rebooked one was supposed to departure at 12:50 and had several delays until 2:24. Then we had to wait 57 minutes for our luggage to arrive.",8,2023-02-15,Canada,True,lot cancellation delay one apologized edinburgh london feb th original flight cancelled rebooked one cancelled well third rebooked one supposed departure several delay wait minute luggage arrive
20,"✅ Trip Verified | BA 242 on the 6/2/23. Boarding was delayed due to late arrival from the incoming flight. Communication from the ground staff was excellent and keep us informed. In flight services were excellent, the crews were friendly with excellent service! Overall, very happy with BA.",1,2023-02-07,United Kingdom,True,ba boarding delayed due late arrival incoming flight communication ground staff excellent keep u informed flight service excellent crew friendly excellent service overall happy ba
21,"✅ Trip Verified |  Not only my first flight in 17 years, but also my first time back to England for 17 years. I flew from PMI-LGW on 21/01/2023 and returned on 29/01/2023. Both Wizz Air and EasyJet offered very inconvenient flight times and charged more than the flights were worth for baggage. British Airways were the most convenient and best value option available, they offered ideal flight times and the €18 charge per flight for baggage was very reasonable - Total cost for both flights was €126 +/- Regular update information via email, seamless online seat allocation and check in. Efficient staff at the check in desks at PMI and LGW ensured that long queues were dealt with as quickly as humanly possible. Immaculate aircraft, comfortable leather seats with adequate legroom (I'm 6'4"" tall) Cabin crew were polite, friendly and professional. In flight food and drinks were good quality and reasonably priced, I enjoyed the Meat Ploughman's and IPA beer (€10 -/+ total) on both flights I have flown 80+ times in the last 50 years with different airlines on various propeller and jet aircraft as well as one LGW-LHR helicopter transfer. Flying was a totally different experience 'back in the day', we are now in the age of the 'budget airline' Nostalgia aside.. British Airways are the best airline I've flown with.",9,2023-02-06,Spain,True,first flight year also first time back england year flew pmi lgw returned wizz air easyjet offered inconvenient flight time charged flight worth baggage british airway convenient best value option available offered ideal flight time charge per flight baggage reasonable total cost flight regular update information via email seamless online seat allocation check efficient staff check desk pmi lgw ensured long queue dealt quickly humanly possible immaculate aircraft comfortable leather seat adequate legroom tall cabin crew polite friendly professional flight food drink good quality reasonably priced enjoyed meat ploughman ipa beer total flight flown time last year different airline various propeller jet aircraft well one lgw lhr helicopter transfer flying totally different experience back day age budget airline nostalgia aside british airway best airline flown
22,"✅ Trip Verified |  My husband and myself were flying to Madrid on the 3rd of February for a Legal matter and we had to be in Madrid by 13:00 pm. We had booked our flight and car with BA Holidays. Unfortunately we chose a parking we had never used before, we got lost, and missed our 6:00 am flight to Madrid. I tried to stay calm, cold head and we went to British Airways to get help. The first lady that we spoke to asked if we had done the booking with BA Holidays, we didn't know that, she gave us a number to call and told us that she couldn't do anything else, that we had to call that number. We called the number, which was asking us to call another  number, which we did and there the message was that opening hours were from 8 am till 4 pm, We went back to the lady and explained that we couldn't wait until 8 am, but she told us that she could not do anything. I did reach out to another staff , a lovely young lady called Althea. She started to look at it, made several calls, went to check with someone else to an office, she managed to get someone to send me a text message that I had to call, and that got answered and the other lovely lady on the line, modified our booking to place us in the following flight at 7.30 am. They didn't charge us for that, our car reservation and flight back were maintained and we made it to Madrid. Without the support of the lovely Althea, her professionalism, her care for us, we would not have make it. She was so sweet, so caring, but at the same time so determined to help, she for sure went above and beyond her role and her responsibilities.",10,2023-02-04,United Kingdom,True,husband flying madrid rd february legal matter madrid pm booked flight car ba holiday unfortunately chose parking never used got lost missed flight madrid tried stay calm cold head went british airway get help first lady spoke asked done booking ba holiday know gave u number call told u anything else call number called number asking u call another number message opening hour till pm went back lady explained wait told u could anything reach another staff lovely young lady called althea started look made several call went check someone else office managed get someone send text message call got answered lovely lady line modified booking place u following flight charge u car reservation flight back maintained made madrid without support lovely althea professionalism care u would make sweet caring time determined help sure went beyond role responsibility
23,✅ Trip Verified | Organised boarding process. Really friendly crew. Quick drink and a snack. All in all a great experience. The crew are a credit to BA. The best crew in Europe.,10,2023-01-31,United Kingdom,True,organised boarding process really friendly crew quick drink snack great experience crew credit ba best crew europe
24,"✅ Trip Verified |  Outward journey BA245 London to Buenos Aires Club World 10 January 2023. Our experience was poor from beginning to end. Although we had reserved seats 11F and 12J, another passenger was occupying 11F and crew made no attempt to address the problem. Eventually, I persuaded the passenger to move and occupy her designated seat 11D. We boarded punctually but were not offered drinks. When I asked for a drink, the crew member said it was too late and blamed the seating problem. The same crew member then began taking orders for dinner but did not write them all down and gave up after a few minutes for the safety briefing. She asked us to repeat our orders later. The hot flannels smelled musty and felt old and ragged.  One of the crew wondered aloud whether my companion and I were related.  My soup was cold, I was told it was served from flasks. Was that an explanation or an excuse? My coffee was weak and tasted like instant granules. My companion was initially served no bread roll with dinner. The breakfast menu stated a 'selection of rolls/pastries' but there was no choice and my companion was given a dried fruit pastry, where he would have chosen a bread roll.  Although we had not previously asked for or been offered any other than those supplied at the seat, small bottles of water ran out. Return journey BA244 Buenos Aires to London Heathrow World Traveller Plus 26 January 2023 was a huge contrast, from the warm welcome on boarding to crew’s professionalism throughout. It’s a poor reflection on Club World service that our experience in World Traveller Plus was so much better and kinder. Weighed against the advantages of a flat bed, the considerable price difference was not worth paying for the catalogue of errors and inconveniences outlined above.",10,2023-01-31,United Kingdom,True,outward journey ba london buenos aire club world january experience poor beginning end although reserved seat f j another passenger occupying f crew made attempt address problem eventually persuaded passenger move occupy designated seat boarded punctually offered drink asked drink crew member said late blamed seating problem crew member began taking order dinner write gave minute safety briefing asked u repeat order later hot flannel smelled musty felt old ragged one crew wondered aloud whether companion related soup cold told served flask explanation excuse coffee weak tasted like instant granule companion initially served bread roll dinner breakfast menu stated selection roll pastry choice companion given dried fruit pastry would chosen bread roll although previously asked offered supplied seat small bottle water ran return journey ba buenos aire london heathrow world traveller plus january huge contrast warm welcome boarding crew professionalism throughout poor reflection club world service experience world traveller plus much better kinder weighed advantage flat bed considerable price difference worth paying catalogue error inconvenience outlined
25,"✅ Trip Verified | Check in agent at LHR was very helpful and friendly as were the in flight crew. Seat was comfortable with good leg room. However, the food was poor - barely better than economy class with a poor quality and limited selection of wine. In flight entertainment selections we’re very limited. Far inferior to what BA used to offer. Overall, this premium economy product was disappointing and very poor value for money.",2,2023-01-28,United Kingdom,True,check agent lhr helpful friendly flight crew seat comfortable good leg room however food poor barely better economy class poor quality limited selection wine flight entertainment selection limited far inferior ba used offer overall premium economy product disappointing poor value money
26,"✅ Trip Verified |  Very disappointing. I book BA so I can fly during the day. My return flight at 6pm on 28/1/23 was cancelled, replaced by a flight at 9pm. It took off 1/2 hour late meaning I arrived at Gatwick well after midnight with no onward transport connections. I had to pay £70 for a taxi home. Plus the seats are really snug. I’m only 5’7” but my knees were hitting the seat in front. No more BA for me. They are trading on their name but the customer service and reliability has deteriorated. Ryanair has better aircraft and take-off slots.",4,2023-01-28,United Kingdom,True,disappointing book ba fly day return flight pm cancelled replaced flight pm took hour late meaning arrived gatwick well midnight onward transport connection pay taxi home plus seat really snug knee hitting seat front ba trading name customer service reliability deteriorated ryanair better aircraft take slot
27,"✅ Trip Verified | Excellent service both on the ground and on board - while their first class product might not be leading edge, the service around the entire experience was well worth the cost of the ticket. The Concorde room at Heathrow is well managed and a great place to relax prior to the trip. Flight was slightly delayed out of Heathrow but arrived on schedule in Johannesburg.",3,2023-01-24,United Kingdom,True,excellent service ground board first class product might leading edge service around entire experience well worth cost ticket concorde room heathrow well managed great place relax prior trip flight slightly delayed heathrow arrived schedule johannesburg
28,✅ Trip Verified |  Good lounge at Cape Town. On time departure. Drinks high quality. Sound dinner service. Breakfast reasonable. Arrival lounge was good but showers cold.,9,2023-01-24,United Kingdom,True,good lounge cape town time departure drink high quality sound dinner service breakfast reasonable arrival lounge good shower cold
29,"✅ Trip Verified |  A really excellent journey. Lounge not overcrowded in late afternoon, plenty of edible food. Easy boarding. New Club World Suites great and compared to when we last travelled in them a year ago food and drink back to previous standards- choice of individual wines rather than bland blends, courses served individually with cut glass and china. Beef cheek really tasty as was a surprisingly good soup. Crew excellent. Good choice of movies. Breakfast after a good night's sleep- fruits etc first, couldn't manage the full English which was offered. Arrival on time. What more could you want? Not quite up to Gulf standards overall, but BA seems to have eventually got its business class back to standard",9,2023-01-23,United Kingdom,True,really excellent journey lounge overcrowded late afternoon plenty edible food easy boarding new club world suite great compared last travelled year ago food drink back previous standard choice individual wine rather bland blend course served individually cut glass china beef cheek really tasty surprisingly good soup crew excellent good choice movie breakfast good night sleep fruit etc first manage full english offered arrival time could want quite gulf standard overall ba seems eventually got business class back standa
30,"✅ Trip Verified |  This flight was one of the worst I have ever had in my life. I wanted to pamper myself, so I bought business class. I was looking forward to my new experience. I will not mention the chaos of changing gates several times, as these things may happen. What surprised me was the lack of attention to passengers. The flight was delayed by almost 3 hours. Even though staff offered vouchers, we had no idea where to get them, and we were told that we only had about 10 minutes to use them because boarding had already begun. Firstly, I did not see anyone with the voucher, and secondly, even if we got it, we were not able to use it. When I finally got to the airport, there was another waiting for about 30 minutes after cross check. Meantime, we were told that due to problems, they did not load any food, so the flight will be without any food on board. The only food offered and given to everyone on the plane was a small bag of nuts. As a business class passenger, I was offered drinks only. All in all, my business class contained 3 small glasses of juice.   I received no apology or compensation from the company at all. It was a disgraceful and cheap service for a very expensive price. ",9,2023-01-21,United Kingdom,True,flight one worst ever life wanted pamper bought business class looking forward new experience mention chaos changing gate several time thing may happen surprised lack attention passenger flight delayed almost hour even though staff offered voucher idea get told minute use boarding already begun firstly see anyone voucher secondly even got able use finally got airport another waiting minute cross check meantime told due problem load food flight without food board food offered given everyone plane small bag nut business class passenger offered drink business class contained small glass juice received apology compensation company disgraceful cheap service expensive price
31,"Not Verified | It seems that there is a race to the bottom amongst airlines. I cannot even check in because BA requires the submission of documents for Covid restrictions. However the form to start the submission process is hopelessly broken. After clicking ""submit"" the form just hangs forever. No error message is given. I tried three different browsers on three different devices. All have the same hang. Which means you cannot check in online nor can you select a seat. I tried using the chat bot, but after 30 minutes of clicking ""try again"" I thought I had donated enough time to BA. ",2,2023-01-19,United States,False,verified seems race bottom amongst airline cannot even check ba requires submission document covid restriction however form start submission process hopelessly broken clicking submit form hang forever error message given tried three different browser three different device hang mean cannot check online select seat tried using chat bot minute clicking try thought donated enough time ba
32,"Not Verified |  As a Spanish born individual living in England, I have been using British Airways for over 3 decades, multiple times a year. On 12th January 2023 I booked a flight for my son and I to go to Alicante. However, I was informed on the 17th January 2023 by my doctors that I am unable to fly due to an elbow operation I have had. As a result I decided to give my ticket to my daughter, calling up the Customer Service team for British Airways to make the change. On the 18th January 2023 they took my enquiry call. There seemed to be some speech delay in the call, which presented a small bit of difficulty, however I also struggled to understand the support staff member on top of this delay. When requesting to change the name on one of the tickets to my daughters name I was told this is not within the policy, and that I would need to cancel the ticket and rebook it. I was encouraged to divide the booking so myself and my son were on two different booking reference numbers. I accepted this and was then asked if I would like to cancel the booking. I insisted I would need to know the total of the refund. It’s lucky I did ask to check this, as I was then informed it would be roughly £9.00. The total cost of my booking was £394.64, which comes to £197.32 per passenger, leaving my refund total at less than 3% of the value of my purchase. This is despite the seat not be abandoned. According to BA  policy, all I am entitled to out of a simple change of name is less than 3% refund even when I’m buying the ticket right back then and there on the phone (probably for more money than it was worth a week ago).",3,2023-01-19,United Kingdom,False,verified spanish born individual living england using british airway decade multiple time year th january booked flight son go alicante however informed th january doctor unable fly due elbow operation result decided give ticket daughter calling customer service team british airway make change th january took enquiry call seemed speech delay call presented small bit difficulty however also struggled understand support staff member top delay requesting change name one ticket daughter name told within policy would need cancel ticket rebook encouraged divide booking son two different booking reference number accepted asked would like cancel booking insisted would need know total refund lucky ask check informed would roughly total cost booking come per passenger leaving refund total le value purchase despite seat abandoned according ba policy entitled simple change name le refund even buying ticket right back phone probably money worth week ago
33,"✅ Trip Verified |  A rather empty and quiet flight to Tel Aviv, very friendly cabin crew and due to the emptiness of the flight I had an entire row to myself which allowed me to work easily and have as much space as required. Unfortunately upon landing the breaks overheated and we had to wait for the fire crew to cool them down which delayed us. Otherwise an overall excellent flight on BA's part. This was the first time I have flown this flight and it has actually taken off at the correct time.",2,2023-01-18,United Kingdom,True,rather empty quiet flight tel aviv friendly cabin crew due emptiness flight entire row allowed work easily much space required unfortunately upon landing break overheated wait fire crew cool delayed u otherwise overall excellent flight ba part first time flown flight actually taken correct time
34,✅ Trip Verified |  Easy check in and staff member was polite and helpful and made a specific point of acknowledging our loyalty to BA. Security at London was fast. Galleries North was fine and showers were good. Organised flight boarding. Plane was fine with good crew and new club world product. My wife had a damaged storage area but otherwise ok. After take off there was a good drinks and food service which was well run. Slept well on time arrival. We both found the new seat design harder to sleep in.,9,2023-01-17,United Kingdom,True,easy check staff member polite helpful made specific point acknowledging loyalty ba security london fast gallery north fine shower good organised flight boarding plane fine good crew new club world product wife damaged storage area otherwise ok take good drink food service well run slept well time arrival found new seat design harder sleep
35,"✅ Trip Verified |  Being a silver flyer and booking a flight through BA to Dublin you would have thought I could use the lounge even though BA used Air Lingus for the flight. Travelled recently there with the same situation and was allowed in by a kind Gentleman at the desk even though he said I had to be Gold ? He was really accommodating and it wasn’t a big deal. But the two ladies on the desk were like no. No empathy there at all-saying the other guy shouldn’t have let me and they will have a word with him ? Come on BA I booked the flight through you, and you made me fly with Air Lingus so you should let me use the lounge as a silver flier. ",9,2023-01-17,United Kingdom,True,silver flyer booking flight ba dublin would thought could use lounge even though ba used air lingus flight travelled recently situation allowed kind gentleman desk even though said gold really accommodating big deal two lady desk like empathy saying guy let word come ba booked flight made fly air lingus let use lounge silver flier
